LineNumber Seconds Frequency,Hz
2226 1201,101 352,62292
2227 1201,650 352,62308
2228 1202,194 352,62292
2229 1202,743 352,62302
2230 1203,281 352,62292
2231 1203,816 352,62302
2232 1204,356 352,62302
2233 1204,900 352,62296
2234 1205,451 352,62296
2235 1205,985 352,62308
2236 1206,517 352,62314
2237 1207,061 352,62302
2238 1207,595 352,62299
2239 1208,129 352,62308
2240 1208,668 352,62296
2241 1209,203 352,62320
2242 1209,747 352,62320
2243 1210,290 352,62335
2244 1210,834 349,20288
2245 1211,379 349,20282
2246 1211,907 349,20282
2247 1212,439 349,20276
2248 1212,969 349,20282
2249 1213,514 349,20285
2250 1214,052 349,20300
2251 1214,607 349,20306
2252 1215,142 349,20279
2253 1215,672 349,20267
2254 1216,213 349,20248
2255 1216,760 349,20267
2256 1217,309 349,20255
2257 1217,848 349,20273
2258 1218,382 349,20270
2259 1218,933 349,20230
2260 1219,479 349,20233
2261 1220,021 349,20236
2262 1220,571 349,20245
2263 1221,121 349,20245
2264 1221,655 349,20245
2265 1222,200 349,20248
2266 1222,735 349,20258
2267 1223,269 349,20261
2268 1223,808 345,84808
2269 1224,349 345,84799
2270 1224,893 345,84784
2271 1225,434 345,84787
2272 1225,971 345,84778
2273 1226,514 345,84778
2274 1227,049 345,84784
2275 1227,590 345,84781
2276 1228,129 345,84784
2277 1228,660 345,84778
2278 1229,190 345,84772
2279 1229,733 345,84769
2280 1230,270 345,84778
2281 1230,802 345,84781
2282 1231,336 345,84787
2283 1231,886 345,84784
2284 1232,423 345,84790
2285 1232,960 345,84769
2286 1233,505 345,84766
2287 1234,039 345,84775
2288 1234,578 345,84778
2289 1235,116 345,84766
2290 1235,667 345,84760
2291 1236,203 345,76718
2292 1236,744 342,58783
2293 1237,289 342,57819
2294 1237,841 342,55670
2295 1238,389 342,55679
2296 1238,933 342,55679
2297 1239,472 342,55664
2298 1240,011 342,55667
2299 1240,552 342,55670
2300 1241,078 342,55676
2301 1241,614 342,55673
2302 1242,147 342,55658
2303 1242,696 342,55658
2304 1243,242 342,55673
2305 1243,782 342,55676
2306 1244,324 342,55685
2307 1244,870 342,55685
2308 1245,418 342,55670
2309 1245,960 342,55661
2310 1246,503 342,55658
2311 1247,045 342,55655
2312 1247,580 342,55670
2313 1248,108 342,55673
2314 1248,652 342,55692
2315 1249,192 342,55701
2316 1249,723 339,32794
2317 1250,259 339,32797
2318 1250,805 339,32794
2319 1251,350 339,32797
2320 1251,895 339,32797
2321 1252,433 339,32791
2322 1252,970 339,32791
2323 1253,512 339,32782
2324 1254,047 339,32767
2325 1254,582 339,32767
2326 1255,109 339,32776
2327 1255,644 339,32767
2328 1256,173 339,32776
2329 1256,717 339,32782
2330 1257,250 339,32785
2331 1257,795 339,32785
2332 1258,339 339,32773
2333 1258,877 339,32776
2334 1259,413 339,32770
2335 1259,962 339,32776
2336 1260,501 339,32767
2337 1261,045 339,32755
2338 1261,581 339,32767
2339 1262,114 339,32758
2340 1262,648 336,15930
2341 1263,195 336,15933
2342 1263,741 336,15921
2343 1264,285 336,15915
2344 1264,818 336,15909
2345 1265,364 336,15915
2346 1265,894 336,15924
2347 1266,428 336,15918
2348 1266,978 336,15909
2349 1267,523 336,15909
2350 1268,073 336,15909
2351 1268,615 336,15909
2352 1269,160 336,15909
2353 1269,695 336,15921
2354 1270,235 336,15921
2355 1270,769 336,15921
2356 1271,300 336,15915
2357 1271,828 336,15921
2358 1272,370 336,15921
2359 1272,910 336,15933
2360 1273,438 336,15945
2361 1273,978 336,15945
2362 1274,528 336,15945
2363 1275,067 336,15945
2364 1275,601 336,03687
2365 1276,147 333,05551
2366 1276,692 333,05402
2367 1277,222 333,04956
2368 1277,759 333,04935
2369 1278,310 333,04919
2370 1278,847 333,04913
2371 1279,375 333,04904
2372 1279,907 333,04919
2373 1280,439 333,04929
2374 1280,969 333,04941
2375 1281,505 333,04944
2376 1282,043 333,04929
2377 1282,589 333,04913
2378 1283,134 333,04926
2379 1283,679 333,04910
2380 1284,231 333,04913
2381 1284,778 333,04916
2382 1285,315 333,04932
2383 1285,847 333,04932
2384 1286,385 333,04922
2385 1286,935 333,04919
2386 1287,469 333,04913
2387 1288,012 333,04904
2388 1288,561 333,04892
2389 1289,108 329,99637
2390 1289,641 329,99628
2391 1290,179 329,99622
2392 1290,729 329,99606
2393 1291,267 329,99628
2394 1291,799 329,99631
2395 1292,337 329,99622
2396 1292,888 329,99619
2397 1293,427 329,99615
2398 1293,955 329,99612
2399 1294,497 329,99615
2400 1295,046 329,99622
2401 1295,580 329,99622
2402 1296,111 329,99606
2403 1296,651 329,99603
2404 1297,199 329,99625
2405 1297,742 329,99622
2406 1298,290 329,99631
2407 1298,834 329,99622
2408 1299,384 329,99622
2409 1299,921 329,99619
2410 1300,459 329,99615
2411 1300,993 329,95642
2412 1301,535 329,93805
2413 1302,069 327,04816
2414 1302,611 326,99866
2415 1303,144 326,99860
2416 1303,686 326,99860
2417 1304,226 326,99860
2418 1304,777 326,99881
2419 1305,312 326,99872
2420 1305,852 326,99869
2421 1306,390 326,99881
2422 1306,928 326,99884
2423 1307,474 326,99875
2424 1308,017 326,99869
2425 1308,547 326,99878
2426 1309,092 326,99866
2427 1309,638 326,99863
2428 1310,182 326,99866
2429 1310,729 326,99863
2430 1311,273 326,99863
2431 1311,823 326,99869
2432 1312,368 326,99863
2433 1312,914 326,99860
2434 1313,461 326,99860
2435 1314,008 326,99860
2436 1314,556 326,92999
2437 1315,101 324,09186
2438 1315,651 324,05530
2439 1316,198 324,05527
2440 1316,749 324,05515
2441 1317,285 324,05530
2442 1317,816 324,05536
2443 1318,346 324,05527
2444 1318,887 324,05527
2445 1319,424 324,05518
2446 1319,955 324,05524
2447 1320,496 324,05536
2448 1321,033 324,05527
2449 1321,575 324,05521
2450 1322,113 324,05524
2451 1322,652 324,05511
2452 1323,189 324,05505
2453 1323,728 324,05518
2454 1324,279 324,05524
2455 1324,819 324,05527
2456 1325,362 324,05527
2457 1325,894 324,05530
2458 1326,425 324,05530
2459 1326,958 324,05545
2460 1327,486 324,05536
2461 1328,025 321,16428
2462 1328,563 321,16440
2463 1329,094 321,16437
2464 1329,625 321,16431
2465 1330,169 321,16428
2466 1330,711 321,16428
2467 1331,257 321,16440
2468 1331,803 321,16440
2469 1332,349 321,16446
2470 1332,881 321,16446
2471 1333,426 321,16449
2472 1333,961 321,16443
2473 1334,507 321,16428
2474 1335,047 321,16446
2475 1335,581 321,16434
2476 1336,117 321,16428
2477 1336,667 321,16428
2478 1337,207 321,16418
2479 1337,741 321,16412
2480 1338,281 321,16412
2481 1338,824 321,16412
2482 1339,373 321,16409
2483 1339,921 321,16403
2484 1340,457 321,16403
2485 1340,987 318,32437
2486 1341,516 318,32428
2487 1342,050 318,32410
2488 1342,579 318,32391
2489 1343,109 318,32404
2490 1343,655 318,32407
2491 1344,197 318,32416
2492 1344,735 318,32422
2493 1345,275 318,32422
2494 1345,824 318,32416
2495 1346,371 318,32425
2496 1346,916 318,32419
2497 1347,464 318,32419
2498 1348,011 318,32419
2499 1348,562 318,32407
2500 1349,094 318,32416
2501 1349,632 318,32419
2502 1350,178 318,32431
2503 1350,722 318,32431
2504 1351,255 318,32434
2505 1351,785 318,32437
2506 1352,328 318,32437
2507 1352,862 318,32446
2508 1353,395 318,32443
2509 1353,931 315,53412
2510 1354,470 315,53412
2511 1355,007 315,53412
2512 1355,555 315,53409
2513 1356,094 315,53415
2514 1356,632 315,53427
2515 1357,173 315,53427
2516 1357,710 315,53436
2517 1358,262 315,53415
2518 1358,802 315,53409
2519 1359,338 315,53403
2520 1359,890 315,53409
2521 1360,432 315,53394
2522 1360,978 315,53394
2523 1361,521 315,53397
2524 1362,052 315,53397
2525 1362,591 315,53394
2526 1363,124 315,53400
2527 1363,663 315,53397
2528 1364,214 315,53397
2529 1364,750 315,53412
2530 1365,286 315,53397
2531 1365,820 315,52179
2532 1366,374 315,51788
2533 1366,914 312,88110
2534 1367,462 312,79266
2535 1368,012 312,79263
2536 1368,551 312,79251
2537 1369,090 312,79260
2538 1369,625 312,79272
2539 1370,161 312,79279
2540 1370,695 312,79272
2541 1371,239 312,79266
2542 1371,785 312,79260
2543 1372,317 312,79266
2544 1372,847 312,79248
2545 1373,377 312,79251
2546 1373,914 312,79245
2547 1374,454 312,79257
2548 1374,984 312,79260
2549 1375,527 312,79288
2550 1376,072 312,79285
2551 1376,619 312,79260
2552 1377,164 312,79263
2553 1377,718 312,79257
2554 1378,258 312,79257
2555 1378,812 312,79260
2556 1379,350 312,79257
2557 1379,877 310,09814
2558 1380,411 310,09818
2559 1380,941 310,09814
2560 1381,471 310,09814
2561 1382,003 310,09830
2562 1382,531 310,09811
2563 1383,077 310,09814
2564 1383,614 310,09836
2565 1384,141 310,09830
2566 1384,676 310,09842
2567 1385,216 310,09842
2568 1385,757 310,09851
2569 1386,308 310,09827
2570 1386,847 310,09830
2571 1387,383 310,09821
2572 1387,923 310,09821
2573 1388,466 310,09821
2574 1389,010 310,09821
2575 1389,558 310,09818
2576 1390,107 310,09814
2577 1390,651 310,09811
2578 1391,195 310,09808
2579 1391,742 310,09808
2580 1392,287 310,09811
2581 1392,813 310,09814
2582 1393,353 307,44962
2583 1393,904 307,44949
2584 1394,443 307,44958
2585 1394,999 307,44962
2586 1395,533 307,44952
2587 1396,069 307,44955
2588 1396,616 307,44965
2589 1397,162 307,44962
2590 1397,702 307,44974
2591 1398,234 307,44986
2592 1398,777 307,44986
2593 1399,314 307,44977
2594 1399,844 307,44974
2595 1400,376 307,44974
2596 1400,907 307,44977
2597 1401,441 307,44986
2598 1401,981 307,44980
2599 1402,527 307,44977
2600 1403,064 307,44968
2601 1403,594 307,44974
2602 1404,124 307,44980
2603 1404,667 307,44971
2604 1405,206 307,44977
2605 1405,740 307,35519
2606 1406,272 304,85172
2607 1406,813 304,85034
2608 1407,349 304,84631
2609 1407,884 304,84616
2610 1408,435 304,84613
2611 1408,971 304,84619
2612 1409,499 304,84619
2613 1410,030 304,84613
2614 1410,571 304,84607
2615 1411,109 304,84619
2616 1411,655 304,84607
2617 1412,193 304,84607
2618 1412,747 304,84607
2619 1413,281 304,84607
2620 1413,817 304,84607
2621 1414,347 304,84601
2622 1414,877 304,84616
2623 1415,411 304,84616
2624 1415,937 304,84625
2625 1416,484 304,84619
2626 1417,028 304,84625
2627 1417,576 304,84641
2628 1418,109 304,84637
2629 1418,654 304,84634
2630 1419,198 302,28671
2631 1419,743 302,28674
2632 1420,295 302,28656
2633 1420,840 302,28656
2634 1421,375 302,28668
2635 1421,906 302,28671
2636 1422,442 302,28671
2637 1422,981 302,28662
2638 1423,516 302,28647
2639 1424,052 302,28647
2640 1424,593 302,28650
2641 1425,129 302,28656
2642 1425,669 302,28650
2643 1426,208 302,28656
2644 1426,737 302,28656
2645 1427,270 302,28647
2646 1427,806 302,28650
2647 1428,346 302,28650
2648 1428,881 302,28659
2649 1429,421 302,28671
2650 1429,965 302,28659
2651 1430,505 302,28656
2652 1431,039 302,28659
2653 1431,582 302,28668
2654 1432,117 299,76941
2655 1432,661 299,76935
2656 1433,189 299,76932
2657 1433,722 299,76935
2658 1434,264 299,76929
2659 1434,800 299,76935
2660 1435,336 299,76935
2661 1435,876 299,76935
2662 1436,414 299,76941
2663 1436,966 299,76929
2664 1437,508 299,76926
2665 1438,057 299,76923
2666 1438,597 299,76923
2667 1439,131 299,76913
2668 1439,678 299,76917
2669 1440,228 299,76917
2670 1440,778 299,76920
2671 1441,327 299,76904
2672 1441,863 299,76910
2673 1442,391 299,76907
2674 1442,928 299,76907
2675 1443,472 299,76923
2676 1444,005 299,76929
2677 1444,531 299,76935
2678 1445,073 297,29376
2679 1445,618 297,29376
2680 1446,169 297,29376
2681 1446,714 297,29379
2682 1447,260 297,29373
2683 1447,802 297,29370
2684 1448,347 297,29364
2685 1448,876 297,29367
2686 1449,420 297,29370
2687 1449,968 297,29367
2688 1450,511 297,29376
2689 1451,046 297,29376
2690 1451,588 297,29376
2691 1452,130 297,29373
2692 1452,662 297,29367
2693 1453,188 297,29373
2694 1453,724 297,29370
2695 1454,260 297,29379
2696 1454,798 297,29382
2697 1455,332 297,29373
2698 1455,866 297,29367
2699 1456,421 297,29364
2700 1456,963 297,27542
2701 1457,499 297,26962
2702 1458,039 294,92776
2703 1458,588 294,90738
2704 1459,133 294,85855
2705 1459,683 294,85849
2706 1460,228 294,85855
2707 1460,766 294,85858
2708 1461,298 294,85858
2709 1461,829 294,85855
2710 1462,370 294,85858
2711 1462,915 294,85858
2712 1463,467 294,85855
2713 1464,012 294,85849
2714 1464,547 294,85855
2715 1465,089 294,85864
2716 1465,629 294,85858
2717 1466,162 294,85861
2718 1466,703 294,85849
2719 1467,234 294,85855
2720 1467,778 294,85858
2721 1468,326 294,85873
2722 1468,870 294,85873
2723 1469,418 294,85873
2724 1469,962 294,85876
2725 1470,512 294,80682
2726 1471,054 292,49417
2727 1471,607 292,48511
2728 1472,153 292,46323
2729 1472,691 292,46320
2730 1473,225 292,46326
2731 1473,777 292,46332
2732 1474,313 292,46326
2733 1474,857 292,46338
2734 1475,397 292,46341
2735 1475,945 292,46335
2736 1476,490 292,46335
2737 1477,024 292,46323
2738 1477,571 292,46326
2739 1478,110 292,46326
2740 1478,647 292,46323
2741 1479,199 292,46326
2742 1479,745 292,46326
2743 1480,282 292,46326
2744 1480,822 292,46326
2745 1481,360 292,46326
2746 1481,898 292,46329
2747 1482,452 292,46323
2748 1482,988 292,46326
2749 1483,522 292,46323
2750 1484,076 290,10623
2751 1484,622 290,10617
2752 1485,160 290,10614
2753 1485,694 290,10620
2754 1486,238 290,10620
2755 1486,772 290,10620
2756 1487,324 290,10623
2757 1487,861 290,10629
2758 1488,402 290,10623
2759 1488,952 290,10626
2760 1489,487 290,10620
2761 1490,023 290,10626
2762 1490,564 290,10629
2763 1491,095 290,10626
2764 1491,626 290,10626
2765 1492,162 290,10629
2766 1492,709 290,10629
2767 1493,256 290,10632
2768 1493,809 290,10629
2769 1494,353 290,10641
2770 1494,901 290,10638
2771 1495,437 290,10645
2772 1495,976 290,10651
2773 1496,526 290,10648
2774 1497,064 287,78735
2775 1497,600 287,78729
2776 1498,146 287,78735
2777 1498,694 287,78732
2778 1499,245 287,78735
2779 1499,783 287,78726
2780 1500,322 287,78714
2781 1500,870 287,78720
2782 1501,409 287,78708
2783 1501,950 287,78699
2784 1502,498 287,78705
2785 1503,042 287,78705
2786 1503,578 287,78696
2787 1504,109 287,78699
2788 1504,644 287,78708
2789 1505,179 287,78711
2790 1505,719 287,78711
2791 1506,256 287,78711
2792 1506,797 287,78708
2793 1507,337 287,78711
2794 1507,883 287,78714
2795 1508,432 287,78708
2796 1508,981 287,78714
2797 1509,528 287,78711
2798 1510,065 285,50467
2799 1510,600 285,50464
2800 1511,141 285,50470
2801 1511,682 285,50464
2802 1512,220 285,50470
2803 1512,762 285,50470
2804 1513,306 285,50470
2805 1513,854 285,50470
2806 1514,400 285,50470
2807 1514,946 285,50464
2808 1515,494 285,50479
2809 1516,044 285,50470
2810 1516,578 285,50473
2811 1517,117 285,50464
2812 1517,671 285,50464
2813 1518,204 285,50473
2814 1518,743 285,50470
2815 1519,292 285,50470
2816 1519,835 285,50458
2817 1520,380 285,50458
2818 1520,910 285,50458
2819 1521,438 285,50452
2820 1521,969 285,50464
2821 1522,515 285,45755
2822 1523,051 285,43994
2823 1523,589 283,28021
2824 1524,132 283,27545
2825 1524,674 283,25833
2826 1525,206 283,25830
2827 1525,735 283,25839
2828 1526,281 283,25830
2829 1526,827 283,25845
2830 1527,365 283,25833
2831 1527,913 283,25836
2832 1528,459 283,25842
2833 1528,994 283,25836
2834 1529,544 283,25830
2835 1530,077 283,25818
2836 1530,624 283,25821
2837 1531,163 283,25827
2838 1531,715 283,25830
2839 1532,251 283,25833
2840 1532,791 283,25830
2841 1533,340 283,25827
2842 1533,887 283,25827
2843 1534,437 283,25827
2844 1534,978 283,25827
2845 1535,527 283,25830
2846 1536,071 283,25821
2847 1536,616 281,04691
2848 1537,159 281,04688
2849 1537,690 281,04684
2850 1538,221 281,04688
2851 1538,757 281,04678
2852 1539,300 281,04684
2853 1539,839 281,04684
2854 1540,388 281,04688
2855 1540,934 281,04678
2856 1541,480 281,04684
2857 1542,026 281,04691
2858 1542,573 281,04688
2859 1543,116 281,04688
2860 1543,662 281,04691
2861 1544,192 281,04691
2862 1544,725 281,04691
2863 1545,274 281,04691
2864 1545,821 281,04703
2865 1546,364 281,04703
2866 1546,893 281,04697
2867 1547,424 281,04703
2868 1547,962 281,04703
2869 1548,514 281,04700
2870 1549,054 280,97574
2871 1549,604 278,88284
2872 1550,147 278,87988
2873 1550,695 278,86969
2874 1551,242 278,86960
2875 1551,787 278,86972
2876 1552,333 278,86984
2877 1552,865 278,86984
2878 1553,410 278,86984
2879 1553,945 278,86972
2880 1554,488 278,86972
2881 1555,023 278,86969
2882 1555,568 278,86987
2883 1556,098 278,86981
2884 1556,626 278,86969
2885 1557,158 278,86981
2886 1557,688 278,86972
2887 1558,218 278,86978
2888 1558,751 278,86975
2889 1559,285 278,86981
2890 1559,813 278,86981
2891 1560,358 278,86987
2892 1560,896 278,86978
2893 1561,447 278,86987
2894 1561,986 278,86981
2895 1562,517 276,72589
2896 1563,051 276,72592
2897 1563,588 276,72595
2898 1564,125 276,72595
2899 1564,661 276,72592
2900 1565,187 276,72595
2901 1565,733 276,72592
2902 1566,271 276,72586
2903 1566,822 276,72574
2904 1567,372 276,72574
2905 1567,914 276,72589
2906 1568,466 276,72574
2907 1568,999 276,72598
2908 1569,542 276,72601
2909 1570,079 276,72620
2910 1570,613 276,72610
2911 1571,153 276,72614
2912 1571,691 276,72607
2913 1572,221 276,72614
2914 1572,761 276,72610
2915 1573,297 276,72614
2916 1573,831 276,72614
2917 1574,369 276,72626
2918 1574,918 276,72629
2919 1575,465 274,61523
2920 1576,011 274,61526
2921 1576,547 274,61517
2922 1577,092 274,61523
2923 1577,630 274,61514
2924 1578,157 274,61517
2925 1578,687 274,61517
2926 1579,223 274,61523
2927 1579,752 274,61523
2928 1580,282 274,61514
2929 1580,812 274,61517
2930 1581,347 274,61508
2931 1581,883 274,61505
2932 1582,432 274,61511
2933 1582,976 274,61508
2934 1583,515 274,61502
2935 1584,047 274,61502
2936 1584,582 274,61505
2937 1585,116 274,61502
2938 1585,662 274,61502
2939 1586,208 274,61502
2940 1586,746 274,61508
2941 1587,284 274,59158
2942 1587,820 274,58456
2943 1588,359 272,58081
2944 1588,896 272,56931
2945 1589,422 272,53616
2946 1589,958 272,53604
2947 1590,490 272,53613
2948 1591,041 272,53616
2949 1591,589 272,53619
2950 1592,137 272,53613
2951 1592,685 272,53613
2952 1593,228 272,53619
2953 1593,770 272,53619
2954 1594,299 272,53622
2955 1594,835 272,53610
2956 1595,387 272,53613
2957 1595,927 272,53616
2958 1596,463 272,53619
2959 1597,007 272,53619
2960 1597,554 272,53616
2961 1598,100 272,53610
2962 1598,651 272,53619
2963 1599,199 272,53616
2964 1599,733 272,53616
2965 1600,279 272,53619
2966 1600,814 272,53619
2967 1601,345 270,48843
2968 1601,875 270,48843
2969 1602,413 270,48846
2970 1602,960 270,48856
2971 1603,505 270,48849
2972 1604,037 270,48837
2973 1604,588 270,48837
2974 1605,124 270,48831
2975 1605,658 270,48828
2976 1606,190 270,48843
2977 1606,721 270,48840
2978 1607,250 270,48837
2979 1607,781 270,48840
2980 1608,325 270,48843
2981 1608,860 270,48840
2982 1609,398 270,48831
2983 1609,949 270,48831
2984 1610,489 270,48825
2985 1611,027 270,48822
2986 1611,573 270,48828
2987 1612,117 270,48825
2988 1612,664 270,48816
2989 1613,212 270,48825
2990 1613,754 270,48825
2991 1614,286 268,47101
2992 1614,813 268,47101
2993 1615,349 268,47101
2994 1615,877 268,47101
2995 1616,409 268,47101
2996 1616,949 268,47110
2997 1617,491 268,47113
2998 1618,039 268,47113
2999 1618,585 268,47122
3000 1619,124 268,47119
3001 1619,666 268,47125
3002 1620,216 268,47122
3003 1620,754 268,47125
3004 1621,293 268,47122
3005 1621,839 268,47119
3006 1622,378 268,47116
3007 1622,906 268,47116
3008 1623,443 268,47119
3009 1623,983 268,47125
3010 1624,522 268,47131
3011 1625,075 268,47125
3012 1625,615 268,47119
3013 1626,156 268,47122
3014 1626,692 268,44086
3015 1627,219 268,42957
3016 1627,755 266,51547
3017 1628,308 266,48358
3018 1628,845 266,48361
3019 1629,378 266,48364
3020 1629,911 266,48370
3021 1630,446 266,48361
3022 1630,997 266,48361
3023 1631,539 266,48367
3024 1632,086 266,48361
3025 1632,638 266,48361
3026 1633,174 266,48380
3027 1633,712 266,48380
3028 1634,257 266,48376
3029 1634,796 266,48373
3030 1635,328 266,48376
3031 1635,860 266,48370
3032 1636,402 266,48376
3033 1636,945 266,48373
3034 1637,487 266,48367
3035 1638,026 266,48373
3036 1638,572 266,48370
3037 1639,121 266,48370
3038 1639,659 266,48370
3039 1640,187 266,48373
3040 1640,732 264,52554
3041 1641,277 264,52557
3042 1641,827 264,52567
3043 1642,364 264,52570
3044 1642,915 264,52563
3045 1643,452 264,52573
3046 1643,998 264,52576
3047 1644,532 264,52573
3048 1645,066 264,52567
3049 1645,599 264,52567
3050 1646,131 264,52567
3051 1646,675 264,52557
3052 1647,203 264,52560
3053 1647,736 264,52567
3054 1648,278 264,52567
3055 1648,822 264,52567
3056 1649,365 264,52567
3057 1649,915 264,52576
3058 1650,464 264,52576
3059 1651,007 264,52576
3060 1651,559 264,52573
3061 1652,094 264,52579
3062 1652,631 264,52567
3063 1653,172 264,46478
3064 1653,715 262,60858
3065 1654,264 262,60562
3066 1654,810 262,59616
3067 1655,354 262,59607
3068 1655,893 262,59607
3069 1656,427 262,59604
3070 1656,954 262,59604
3071 1657,485 262,59589
3072 1658,020 262,59595
3073 1658,558 262,59592
3074 1659,095 262,59592
3075 1659,624 262,59579
3076 1660,170 262,59592
3077 1660,707 262,59589
3078 1661,247 262,59595
3079 1661,787 262,59595
3080 1662,337 262,59607
3081 1662,889 262,59616
3082 1663,424 262,59613
3083 1663,958 262,59613
3084 1664,488 262,59613
3085 1665,025 262,59610
3086 1665,571 262,59604
3087 1666,116 262,59607
3088 1666,671 260,69452
3089 1667,207 260,69452
3090 1667,743 260,69464
3091 1668,285 260,69458
3092 1668,821 260,69446
3093 1669,359 260,69449
3094 1669,897 260,69446
3095 1670,441 260,69443
3096 1670,975 260,69449
3097 1671,520 260,69452
3098 1672,050 260,69452
3099 1672,585 260,69437
3100 1673,124 260,69440
3101 1673,659 260,69440
3102 1674,187 260,69431
3103 1674,733 260,69434
3104 1675,279 260,69431
3105 1675,826 260,69431
3106 1676,373 260,69427
3107 1676,907 260,69424
3108 1677,450 260,69427
3109 1677,996 260,69427
3110 1678,542 260,69431
3111 1679,088 260,69434
3112 1679,627 258,82007
3113 1680,164 258,82001
3114 1680,708 258,81998
3115 1681,253 258,81998
3116 1681,786 258,82007
3117 1682,338 258,82001
3118 1682,888 258,82004
3119 1683,424 258,82010
3120 1683,959 258,82013
3121 1684,501 258,82010
3122 1685,034 258,82016
3123 1685,569 258,82016
3124 1686,110 258,82016
3125 1686,645 258,82031
3126 1687,173 258,82016
3127 1687,706 258,82016
3128 1688,248 258,82013
3129 1688,784 258,82004
3130 1689,316 258,82004
3131 1689,854 258,82007
3132 1690,400 258,82001
3133 1690,942 258,82013
3134 1691,477 258,82010
3135 1692,015 258,77603
3136 1692,555 256,99478
3137 1693,107 256,98959
3138 1693,647 256,97269
3139 1694,188 256,97272
3140 1694,724 256,97266
3141 1695,279 256,97263
3142 1695,821 256,97266
3143 1696,365 256,97272
3144 1696,911 256,97266
3145 1697,439 256,97263
3146 1697,971 256,97266
3147 1698,499 256,97275
3148 1699,031 256,97266
3149 1699,564 256,97272
3150 1700,108 256,97272
3151 1700,652 256,97275
3152 1701,198 256,97278
3153 1701,745 256,97272
3154 1702,291 256,97275
3155 1702,835 256,97269
3156 1703,387 256,97266
3157 1703,927 256,97266
3158 1704,481 256,97266
3159 1705,016 256,92926
3160 1705,546 255,17395
3161 1706,090 255,16792
3162 1706,624 255,16479
3163 1707,158 255,15137
3164 1707,689 255,15128
3165 1708,227 255,15131
3166 1708,769 255,15134
3167 1709,300 255,15123
3168 1709,835 255,15117
3169 1710,382 255,15123
3170 1710,936 255,15126
3171 1711,472 255,15114
3172 1712,010 255,15117
3173 1712,550 255,15126
3174 1713,088 255,15120
3175 1713,637 255,15117
3176 1714,178 255,15123
3177 1714,722 255,15120
3178 1715,260 255,15126
3179 1715,802 255,15143
3180 1716,339 255,15140
3181 1716,888 255,15137
3182 1717,434 255,15143
3183 1717,980 255,15146
3184 1718,527 253,35579
3185 1719,073 253,35573
3186 1719,618 253,35573
3187 1720,162 253,35573
3188 1720,707 253,35573
3189 1721,243 253,35573
3190 1721,782 253,35567
3191 1722,312 253,35583
3192 1722,856 253,35573
3193 1723,392 253,35556
3194 1723,928 253,35567
3195 1724,468 253,35567
3196 1725,002 253,35550
3197 1725,543 253,35564
3198 1726,087 253,35567
3199 1726,630 253,35545
3200 1727,162 253,35562
3201 1727,711 253,35562
3202 1728,258 253,35545
3203 1728,809 253,35533
3204 1729,343 253,35542
3205 1729,874 253,35553
3206 1730,418 253,35542
3207 1730,953 253,35545
3208 1731,487 251,58479
3209 1732,024 251,58479
3210 1732,577 251,58488
3211 1733,121 251,58478
3212 1733,661 251,58478
3213 1734,213 251,58478
3214 1734,754 251,58479
3215 1735,290 251,58479
3216 1735,842 251,58479
3217 1736,382 251,58496
3218 1736,933 251,58493
3219 1737,471 251,58502
3220 1738,001 251,58493
3221 1738,541 251,58482
3222 1739,092 251,58469
3223 1739,636 251,58478
3224 1740,182 251,58482
3225 1740,731 251,58492
3226 1741,266 251,58485
3227 1741,807 251,58482
3228 1742,356 251,58482
3229 1742,894 251,58479
3230 1743,429 251,56799
3231 1743,976 251,56361
3232 1744,517 249,88441
3233 1745,053 249,87303
3234 1745,598 249,83902
3235 1746,129 249,83897
3236 1746,660 249,83908
3237 1747,200 249,83905
3238 1747,742 249,83902
3239 1748,292 249,83894
3240 1748,841 249,83897
3241 1749,383 249,83894
3242 1749,928 249,83894
3243 1750,474 249,83900
3244 1751,008 249,83897
3245 1751,554 249,83902
3246 1752,095 249,83900
3247 1752,634 249,83902
3248 1753,172 249,83900
3249 1753,712 249,83900
3250 1754,261 249,83897
3251 1754,809 249,83897
3252 1755,353 249,83897
3253 1755,898 249,83897
3254 1756,449 249,83902
3255 1756,985 249,83905
3256 1757,523 248,11681
3257 1758,076 248,11681
3258 1758,610 248,11685
3259 1759,142 248,11673
3260 1759,685 248,11674
3261 1760,223 248,11684
3262 1760,759 248,11684
3263 1761,301 248,11685
3264 1761,839 248,11694
3265 1762,379 248,11691
3266 1762,917 248,11685
3267 1763,461 248,11684
3268 1764,003 248,11684
3269 1764,535 248,11684
3270 1765,063 248,11691
3271 1765,596 248,11705
3272 1766,129 248,11702
3273 1766,661 248,11710
3274 1767,197 248,11707
3275 1767,735 248,11713
3276 1768,271 248,11707
3277 1768,797 248,11713
3278 1769,339 248,11705
3279 1769,888 248,09436
3280 1770,423 248,08714
3281 1770,964 246,45038
3282 1771,512 246,41864
3283 1772,054 246,41864
3284 1772,607 246,41864
3285 1773,146 246,41875
3286 1773,696 246,41856
3287 1774,248 246,41856
3288 1774,782 246,41850
3289 1775,312 246,41849
3290 1775,848 246,41841
3291 1776,388 246,41843
3292 1776,926 246,41843
3293 1777,460 246,41849
3294 1778,013 246,41849
3295 1778,548 246,41849
3296 1779,090 246,41853
3297 1779,626 246,41843
3298 1780,155 246,41850
3299 1780,689 246,41849
3300 1781,221 246,41849
